first_name;last_name;year;credit_card_number
Destiny;Vasquez;1972;180056878179070
Steve;Wallace;1996;869950932470541
Becky;Schmidt;1981;3337727685885374
Anna;Murphy;2012;341772914020575
Tyler;Little;2004;3096288996558284
Michael;Whitney;2001;180013323094578
Deanna;Freeman;1985;6011606277540538
Johnny;Curtis;1990;4727053174886476
James;Holmes;2020;502007661346
Deborah;Rose;1983;370724541299175
Amy;Gray;2015;6011441791105703
Nathan;Le;1989;373723641014366
Lonnie;Friedman;2001;675930822449
Victor;Atkins;1973;6011029869097710
Denise;Joseph;2008;4695738100059
Brenda;Green;1981;30223293438414
Mark;Carter;1982;376033475399058
Julia;Jordan;1992;869908852372824
Leonard;Powell;1984;675966533241
Joseph;Hernandez;1981;4648231644712318
Robert;Mcdonald;1972;4228108970533005
Todd;Baker;1983;676340926275
Susan;Whitaker;1973;4304751842446
Theresa;Bailey;1995;349639444502475
Antonio;Taylor;2000;5135001663090129
Jessica;Pope;1988;5243232761787824
Alexander;Whitney;1989;6011400434033433
Amanda;Benson;2016;30558218829654
Dana;Barber;2006;30475715530612
Samantha;Bennett;2002;4133123458486
Brenda;Williams;2019;4806020455833653
Mark;Hayes;2003;3337824797962165
Sheila;Carter;2004;630404934170
Kimberly;Martinez;2008;3158809119407060
Sandra;Wood;1977;4321151968527353
Kiara;Bennett;2016;30214244296233
Blake;Nguyen;1982;6011093768597550
Henry;West;2011;6011558851156605
Jennifer;Bailey;2005;30430892029805
Ashley;Brady;1979;6011602949695123
Brian;Wood;2003;180095431673823
Evelyn;Harrell;1992;4017173673850440
Kenneth;Jackson;2019;869996864269401
Michael;Lewis;2003;676166610698
Anna;Mendoza;1975;180046554144886
Frances;Joseph;2003;3096327056334556
Kurt;Young;1976;180041055661215
Kathryn;Scott;1985;4744395328364002
Sheila;Green;1989;3112117633824892
Richard;Cortez;2017;501876460830
Joanne;Collins;2016;5231941874897031
Kristen;Greene;2018;6011932491519177
Erika;Cox;2003;210043216062030
Sara;Sanchez;1993;3096473606132825
Theresa;Taylor;2016;3088138643244541
Derrick;Patterson;1991;5221699554667205
Thomas;Paul;1982;5267102367007896
Maria;Joseph;2020;180006928451474
Riley;Elliott;2004;30399272473257
Theresa;Harvey;1991;6011757535166671
Sara;Coleman;2008;4375881329769
Scott;Hoffman;1998;30420032011581
Christine;Woodard;1989;4644877777793873
Rebecca;Rogers;1994;869956921095595
Jennifer;Edwards;1995;210007947713153
Crystal;Rose;2020;210055025044132
Melanie;Rogers;1972;4960464637585900
Logan;Chavez;2002;3337367439216855
Derrick;Knox;1981;4314312759849
Tiffany;Nelson;1988;30515115332232
Tara;Bennett;1977;340038845106722
Todd;Lewis;1993;30168073378225
Becky;Christian;1976;4740917568594594
Gabriel;Marks;1977;3112196636713575
Johnny;Wilson;1986;4348815816073708
David;Arnold;1982;3158095621200603
Bryan;Whitney;1979;6011308919546573
Erica;Morris;2003;180017057799427
Latoya;Smith;1994;370194952305798
Jody;Campbell;2013;30030682797569
Donna;Moore;1992;373662943596805
Sharon;Jones;1990;3112721946704491
Samuel;Morgan;2016;4560995945416191
Sean;Evans;2013;4717135044266
Zachary;Campbell;1988;869917182772884
Michael;George;1980;4393518640607576
Cynthia;Frazier;1981;869990170146072
Susan;Sanchez;1996;869997538998888
Patrick;Hawkins;1985;344336508661306
Timothy;Mitchell;2012;3337890421106586
Zachary;Acevedo;1987;3158561324436109
Jenny;Lloyd;2004;6011061110353014
Douglas;Gomez;1984;502087059056
Leonard;Simmons;2010;180024510607908
Tyler;Cooper;1990;3088688948226759
Christopher;Gonzalez;1988;30180221872744
Robert;Rodriguez;2020;371975148489010
Zachary;Fox;1971;378896128342123
Holly;Obrien;2010;4528444550422195
Cindy;Burns;1970;3096505894142642
